"額定功率(W)","相關認證(註1)","備註","型號","廠牌","登錄有效期限","登錄編號","輸入電壓(V)","輸出電壓(V)"
"1400000","PL106-PV0137","","PVM3.59.1400.4M","LTi","2018-06-20","PL106-PV0137","590-1000","三相 390"
"1750000","PL106-PV0138","","PVM3.59.1750.5M","LTi","2018-06-20","PL106-PV0138","590-1000","三相 390"
"2100000","PL106-PV0139","","PVM3.59.2100.6M","LTi","2018-06-20","PL106-PV0139","590-1000","三相 390"
"6000","PL106-PV0140","","GW6000D-NS","GOODWE","2018-02-28","PL106-PV0140","80-600","單相230"
"500000","PL106-PV0141","","EP-0500-A-LT","LT LIGHTING","2018-12-07","PL106-PV0141","450-820","三相315"
"10000","PL106-PV0142","","SYMO 10.0-3-M","Fronius","2018-3-17","PL106-PV0142","220-1000","三相230/400"
"12500","PL106-PV0143","","SYMO 12.5-3-M","Fronius","2018-3-17","PL106-PV0143","220-1000","三相230/400"
"15000","PL106-PV0144","","SYMO 15.0-3-M","Fronius","2018-3-17","PL106-PV0144","220-1000","三相230/400"
"17500","PL106-PV0145","","SYMO 17.5-3-M","Fronius","2018-3-17","PL106-PV0145","220-1000","三相230/400"
"20000","PL106-PV0146","","SYMO 20.0-3-M","Fronius","2018-3-17","PL106-PV0146","220-1000","三相230/400"
